Chinese,Jyutping,Yale,POS,English
旅行,leoi5hang4,léuihhàhng,V/N,travel
…… 點呀?,… … dim2 aa4 ?,… … dím àh ?,PH,how is ... ?
特別,dak6bit6,dahkbiht,Adj,special
唔同,m4tung4,m̀htùhng,Adj,different
坐船,co5syun4,chóhsyùhn,V,to take a ferry/boat
覺得,gok3dak1,gokdāk,V,to feel
差唔多,caa1m4do1,chā'm̀hdō,Adj,"almost the same, similar"
靜啲,zing6 di1,jihng dī,PH,quieter
遊客,jau4haak3,yàuhhaak,N,tourist
有啲,jau5di1,yáuhdī,Adv,a little bit
噌,cang1,chāng,Adj,noisy
好耐,hou2noi6,hóu'noih,Adj,long time
瘡,cong1,chōng,Adj,tired
踩單車,caai2daan1ce1,cháaidāanchē,V,to ride on bicycle
輕鬆,heng1sung1,hēngsūng,Adj,relaxed
好玩,hou2waan2,hóuwáan,Adj,fun
對我嚟講太難,deoi3 ngo5 lai4gong2 taai3naan4,deui ngóh làihgóng taai'nàahn,PH,too difficult for me
路上便,lou6soeng6 bin6,louhseuhng bihn,PH,on the way; on the road
慢慢,maan6maan2,maahnmáan,Adv,slowly; gradually
慢慢,maan6maan2,maahnmáan,Adv,slowly; gradually
歌舞表演,go1mou5 biu2jin2,gō'móuh bíuyín,N,singing and dancing show
噉樣,gam2joeng2,gámyéung,PH,in this way
如果,jyu4gu2,yùhgú,Adv,if
一定,jat1ding6,yātdihng,Adv,definitely
濕,sap1,sāp,Adj,wet; humid
習慣,zaap6gwaan3,jaahpgwaan,V/N,be used to; habit
邊方面?,bin1 fong1min6 ?,bīn fōngmihn ?,PH,which aspect?
交通,gaau1tung1,gāau'tūng,N,transportation
方便,fong1bin6,fōngbihn,Adj,convenient
熱鬧,jit6naau6,yihtnaauh,Adj,bustling
選擇,syun2zaak6,syúnjaahk,V/N,"to choose, choice"
搵嘢做,wan2je5zou6,wányéhjouh,PH,find job (lit. find things to do)
參加,caam1gaa1,chāamgā,V,to participate in
開始,hoi1ci2,hōichí,V,to start
做嘢,zou6je5,jouhyéh,V,to work (lit. to do things)
恭喜,gung1hei2,gūnghéi,V,congratulate
工作,gung1zok3,gūngjok,N,work
合適,hap6sik1,hahpsīk,Adj,suitable
祝你成功,zuk1 nei5 sing4gung1,jūk néih sìhnggūng,PH,wish you success
工作順利,gung1zok3 seon6lei6,gūngjok seuhnleih,PH,best wishes in work
