Chinese,Jyutping,Yale,POS,English
你好,nei5 hou2,néih hóu,PH,How are you?
叫,giu3,giu,V,to be called
乜嘢,mat1je5,mātyéh,QW,what
名,meng2,méng,N,name
我,ngo5,ngóh,Pronoun,"I, me, my"
佢,keoi5,kéuih,Pronoun,"he, she, him, her"
係,hai6,haih,V,to be
姓,sing3,sing,V,to have surname called
老師,lou5si1,lóuhsī,N,teacher
唔係,m4hai6,m̀hhaih,PH,not to be
美國人,mei5gwok3jan4,méihgwokyàhn,N,American
呀?,aa4 ?,àh ?,Part,questioning particle
華僑,waa4kiu4,wàhkìuh,N,Overseas Chinese
呢?,ne1 ?,nē ?,Part,how about?
香港人,hoeng1gong2jan4,hēunggóngyàhn,N,Hong Kong people
中文大學,zung1man4daai6hok6,jūngmàhndaaihhohk,N,The Chinese University of Hong Kong
學生,hok6saang1,hohksāang,N,student
嗄?,aa2 ?,á ?,Part,reconfirming particle
好,hou2,hóu,Adv,very
大,daai6,daaih,Adj,big
靚,leng3,leng,Adj,pretty
學,hok6,hohk,V,to learn
中文,zung1man2,jūngmán,N,Chinese language
廣東話,gwong2dung1waa2,gwóngdūngwá,N,Cantonese language
英文,jing1man2,yīngmán,N,English language
鍾意,zung1ji3,jūngyi,V,to like
早晨,zou2san4,jóusàhn,PH,Good morning
班,baan1,bāan,N,class
有,jau5,yáuh,V,to have
冇,mou5,móuh,V,not to have
中文名,zung1man2 meng2,jūngmán méng,N,Chinese name
邊國,bin1 gwok3,bīn gwok,QW,Which country?
一陣(間),jat1zan2 ( gaan1 ),yātján ( gāan ),PH,a while
介紹…識,gaai3siu6 … sik1,gaaisiuh … sīk,V,to introduce
