Chinese,Jyutping,Yale,POS,English
新嚟嘅,san1lai4 ge3,sānlàih ge,PH,newly come
留學生,lau4hok6saang1,làuhhohksāang,N,study abroad student
朋友,pang4jau5,pàhngyáuh,N,friend
開心,hoi1sam1,hōisām,Adj,happy
認識,jing6sik1,yihngsīk,V,to know someone
呢次,ne1 ci3,nē chi,PH,this time
第一次,dai6jat1ci3,daihyātchi,PH,the first time
嚟,lei4,lèih,V,to come
過,gwo3,gwo,BF,experienced
幫手,bong1sau2,bōngsáu,V,to help
唔使客氣,m4sai2 haak3hei3,m̀hsái haakhei,PH,"not at all, don't be polite"
手機,sau2gei1,sáugēi,N,mobile phone
號碼,hou6maa5,houhmáh,N,number
返嚟,faan1lai4,fāanlàih,V,to come back
機場,gei1coeng4,gēichèuhng,N,airport
接,zip3,jip,V,to meet and pick up
法國菜,faat3gwok3coi3,faatgwokchoi,N,French cuisine
不過,bat1gwo3,bātgwo,Adv,however
約,joek3,yeuk,V,to make appointment
下次,haa6ci3,hahchi,PH,next time
有機會,jau5gei1wui6,yáuhgēiwuih,PH,have chance
游水,jau4seoi2,yàuhséui,V,to swim
畫畫,waak6waa2,waahkwá,V,"to draw, to paint"
同朋友傾偈,tung4 pang4jau5 keng1gai2,tùhng pàhngyáuh kēnggái,PH,to chat with friends
讀書,duk6syu1,duhksyū,V,to study
比較,bei2gaau3,béigaau,Adj,"comparatively, relatively"
忙,mong4,mòhng,Adj,busy
宿舍,suk1se3,sūkse,N,dormitory
休息,jau1sik1,yāusīk,V,to rest
以後,ji5hau6,yíhhauh,Adv,afterwards
多啲,do1 di1,dō dī,PH,more
大家,daai6gaa1,daaihgā,N,everyone
少少,siu2siu2,síusíu,PH,a little bit
中學,zung1hok6,jūnghohk,N,secondary school
畢咗業,bat1 zo2 jip6,bāt jó yihp,PH,graduated
