Chinese,Jyutping,Yale,POS,English
你地,nei5 dei6,néih deih,N,you (plural)
去,heoi3,heui,V,to go
邊度,bin1dou6,bīndouh,QW,where?
上堂,soeng5tong4,séuhngtòhng,V,to go to class
做運動,zou6wan6dung6,jouhwahnduhng,V,to do sports
餐廳,caan1teng1,chāantēng,N,restaurant
食飯,sik6faan6,sihkfaahn,V,to have meal
聽日見,ting1jat6 gin3,tīngyaht gin,PH,see you tomorrow
再見,zoi3gin3,joigin,PH,see you again
請問,ceng2man6,chéngmahn,PH,would like to ask ...
,,hái,V,to be located
前邊,cin4bin1,chìhnbīn,N,in front
唔該,m4goi1,m̀hgōi,PH,thank you
知道,zi1dou3,jīdou,V,to know
上邊,soeng5bin1,séuhngbīn,N,on top
旁邊,pong4bin1,pòhngbīn,N,"next to, beside"
呢度,ni1dou6,nīdouh,PW,here
對唔住,deoi3m4zyu6,deui'm̀hjyuh,PH,sorry
唔緊要,m4gan2jiu3,m̀hgányiu,PH,"never mind, no problem"
左邊,zo2bin1,jóbīn,N,left
後邊,hau6bin1,hauhbīn,N,behind
想,soeng2,séung,AV,want to
睇戲,tai2hei3,tái'hei,V,to watch movie
聽講,teng1gong2,tēnggóng,PH,I heard that ...
電影,din6jing2,dihnyíng,N,movie
幾時,gei2si2,géisí,QW,when?
今晚,gam1maan1,gāmmāan,TW,tonight
唔得,m4 dak1,m̀h dāk,PH,not ok
聽晚,ting1maan1,tīngmāan,TW,tomorrow night
考試,haau2si3,háausi,N,examination
要,jiu3,yiu,AV/V,"have to, to need"
溫習,wan1zaap6,wānjaahp,V,"to review, to study"
噉,gam2,gám,Part,then
冇問題,mou5man6tai4,móuhmahntàih,PH,no problem
