Chinese,Jyutping,Yale,POS,English
食咗,sik6 zo2,sihk jó,PH,have eaten
未,mei6,meih,Adv,not yet
仲,zung6,juhng,Adv,still
而家,ji4gaa1,yìhgā,TW,now
都,dou1,dōu,Adv,also
一齊,jat1cai4,yātchàih,Adv,together
嗰度,go2dou6,gódouh,PW,there
平,peng4,pèhng,Adj,cheap
好食,hou2sik6,hóusihk,Adj,good taste
完,jyun4,yùhn,BF,finish
打波,daa2bo1,dábō,V,to play ball
打網球,daa2mong5kau4,dá'móhngkàuh,V,to play tennis
體育館,tai2juk6gun2,táiyuhkgún,PW/N,gymnasium
網球場,mong5kau4coeng4,móhngkàuhchèuhng,PW/N,tennis court
搵,wan2,wán,V,to find; to look for
噙日,kam4 jat6,kàhm yaht,TW,yesterday
唔好,m4hou2,m̀hhóu,PH,not good
行街,haang4gaai1,hàahnggāai,V,to go window shopping
邊啲地方,bin1di1 dei6fong1,bīndī deihfōng,PH,which places
中環,zung1waan4,jūngwàahn,PW,Central
商場,soeng1coeng4,sēungchèuhng,N,shopping mall
買,maai5,máaih,V,to buy
啲,di1,dī,M,some
嘢,je5,yéh,N,things
太貴,taai3 gwai3,taai gwai,PH,too expensive
老闆,lou5baan2,lóuhbáan,N,boss
幾多錢,gei2do1 cin2,géidō chín,PH,how much money
蚊,man1,mān,N,dollar
就係,zau6hai6,jauhhaih,Adv,that is
嗰個,go2go3,gógo,SP,that one
平啲,peng4 di1,pèhng dī,PH,cheaper
嘅話,ge3waa2,gewá,PH,in case
