Chinese,Jyutping,Yale,POS,English
迪士尼,dik6si6nei4,dihksihnèih,PW,Disneyland
飛(張),fei1 ( zoeng1 ),fēi ( jēung ),N,ticket
優惠,jau1wai6,yāuwaih,N,discount
一共,jat1gung6,yātguhng,Adv,in total
可以,ho2ji5,hóyíh,AV,"can, permitted to, able to"
用,jung6,yuhng,V,to use
信用卡(張),seon3jung6kaat1 ( zoeng1 ),seunyuhngkāat ( jēung ),N,credit card
等一等,dang2jat1dang2,dángyātdáng,PH,wait for a while
卡,kaa1,kā,N,card
邊日,bin1jat6,bīnyaht,PH,which date
屋企,uk1kei2,ūkkéi,PW/N,home
二月六號,ji6jyut6 luk6hou6,yihyuht luhkhouh,PH,6th February
星期四,sing1kei4sei3,sīngkèihsei,TW,Thursday
嗰日,go2jat6,góyaht,TW,that day
幾點,gei2dim2,géidím,PH,what time
四點半,sei3dim2bun3,seidímbun,PH,half past four
之前,zi1cin4,jīchìhn,Adv,before
到,dou2,dóu,V,to arrive
見面,gin3min6,ginmihn,V,to meet
到時見,dou3si4 gin3,dousìh gin,PH,see you then
幫,bong1,bōng,V,to help
開,hoi1,hōi,V,to open
歡送會,fun1sung3wui2,fūnsungwúi,N,farewell party
星期幾,sing1kei4 gei2,sīngkèih géi,PH,which day of the week
得閒,dak1haan4,dākhàahn,PH,be free
定時間,ding6si4 gaan1,dihngsìh gāan,PH,set a time
之後,zi1hau6,jī'hauh,Adv,after
講俾你知,gong2 bei2 nei5 zi1,góng béi néih jī,PH,tell you
留言,lau4jin4,làuhyìhn,vO,to leave message
