Chinese,Jyutping,Yale,POS,English
放假,fong3gaa3,fongga,V,to have vacation
打算,daa2syun3,dásyun,V/N,"to plan, plan"
學校活動,hok6haau6 wut6dung6,hohkhaauh wuhtduhng,N,school activities
然後,jin4hau6,yìhnhauh,Adv,"then, afterwards"
三年前,saam1nin4 cin4,sāamnìhn chìhn,PH,three years ago
夏天,haa6tin1,hahtīn,TW,summer
涼,loeng4,lèuhng,Adj,cool
值得睇,zik6dak1 tai2,jihkdāk tái,PH,worth-seeing
歷史,lik6si2,lihksí,N,history
建築,gin3zuk1,ginjūk,N,architecture
自然,zi6jin4,jihyìhn,N,nature
風景,fung1ging2,fūnggíng,N,scenary
南部,naam4bou6,nàahmbouh,N,southern part
夠,gau3,gau,Adj,enough
辦簽證,baan6 cim1zing3,baahn chīmjing,V,to apply for visa
麻煩,maa4faan4,màhfàahn,Adj,troublesome
填表,tin4biu2,tìhnbíu,V,to fill in form
影相,jing2soeng2,yíngséung,V,to take photograph
準備,zeon2bei6,jéunbeih,V,to prepare
證明,zing3ming4,jingmìhng,V/N,"to prove, proof"
文件,man4gin2,màhngín,N,document
俾錢,bei2cin2,béichín,V,to pay
問,man6,mahn,V,to ask
睇到,tai2dou2,táidóu,PH,"saw, can be seen"
方向,fong1hoeng3,fōngheung,N,direction
行,haang4,hàahng,V,to walk
路口,lou6hau2,louhháu,N,road junction
轉左,zyun3zo2,jyunjó,V,to turn left
