Chinese,Jyutping,Yale,POS,English
周末,zau1mut6,jāu'muht,TW,weekend
海邊,hoi2bin1,hóibīn,PW,sea side
玩下,waan2haa5,wáanháh,PH,to have fun
呢個,ni1go3,nīgo,SP,this one
教,gaau3,gaau,V,to teach
時間,si4gaan1,sìhgāan,N,time
上晝,soeng6zau3,seuhngjau,TW,before noon
下書,haa5 syu1,háh syū,TW,afternoon
啦,la1,lā,P,sentence particle showing suggestions
今日,gam1jat6,gāmyaht,TW,today
生日,saang1jat6,sāangyaht,V,birthday
生日快樂,saang1jat6faai3lok6,sāangyahtfaailohk,PH,Happy birthday
請你食飯,ceng2 nei5 sik6faan6,chéng néih sihkfaahn,PH,buy you meal
多謝,do1ze6,dōjeh,PH,thank you
乜嘢都食,mat1je5 dou1 sik6,mātyéh dōu sihk,PH,can eat anything
飲茶,jam2caa4,yámchàh,V,to have dimsum (lit. to drink tea)
歡迎光臨,fun1jing4gwong1lam4,fūnyìhnggwōnglàhm,PH,welcome
吞拿魚三文治,tan1naa4jyu2 saam1man4zi6,tānnàhyú sāammàhnjih,N,tuna fish sandwiches
賣晒,maai6saai3,maaihsaai,PH,Sold out
牛肉三文治,ngau4juk6 saam1man4zi6,ngàuhyuhk sāammàhnjih,N,beef sandwiches
飲,jam2,yám,V,to drink
可樂,ho2lok6,hólohk,N,Cola
果汁,gwo2zap1,gwójāp,N,fruit juice
咖啡,gaa3fe1,gafē,N,coffee
定係,ding6hai6,dihnghaih,Patt,or
杯,bui1,būi,N/M,cup
凍,dung3,dung,Adj,cold
熱,jit6,yiht,Adj,hot
等,dang2,dáng,V,to wait
