Chinese,Jyutping,Yale,POS,English
參觀,caam1gun1,chāamgūn,V,to visit a place
地鐵,dei6tit3,deihtit,N,"MTR, subway"
只係,zi2hai6,jí'haih,Adv,only
分鐘,fan1zung1,fānjūng,N,minute
坐車,co5ce1,chóhchē,V,to ride in a car
唔使,m4sai2,m̀hsái,PH,no need
環境,waan4ging2,wàahngíng,N,environment
真係,zan1hai6,jānhaih,Adv,really
唔錯,m4co3,m̀hcho,PH,not bad
銀包,ngan2baau1,ngánbāau,N,purse
唔見咗,m4gin3 zo2,m̀hgin jó,PH,be missing; to be lost
點算,dim2syun3,dímsyun,QW,what can be done
留咗喺火車上便,lau4 zo2 hai2 fo2ce1 soeng6bin6,làuh jó hái fóchē seuhngbihn,PH,left in the train
陪,pui4,pùih,V,to accompany
的士,dik1si2,dīksí,N,taxi
最多,zeoi3do1,jeuidō,PH,the most
落車,lok6ce1,lohkchē,V,to take off car
攤,taan1,tāan,V,"to take, to bring"
收據,sau1geoi3,sāugeui,N,receipt
車牌,ce1paai4,chē'pàaih,N,"car licence, car number plate; driving licence"
明白,ming4baak6,mìhngbaahk,V,to understand
搵返,wan2 faan1,wán fāan,PH,"found, to be found"
遲咗,ci4 zo2,chìh jó,PH,to be late
趕唔到,gon2 m4 dou2,gón m̀h dóu,PH,cannot catch (vehicle)
呢班飛機,ne1 baan1 fei1gei1,nē bāan fēigēi,PH,this airplane
應該,jing1goi1,yīnggōi,AV,should
點做,dim2zou6,dímjouh,QW,what to do
機票,gei1piu3,gēi'piu,N,air ticket
改,goi2,gói,V,"to change, to correct"
另外,ling6ngoi6,lihngngoih,Adv,"another, other"
退錢,teoi3cin2,teuichín,V,to refund
唔清楚,m4 cing1co2,m̀h chīngchó,PH,not clear
聯絡,lyun4lok3,lyùhnlok,V,to be in touch (with people)
