Chinese,Jyutping,Yale,POS,English
管理,gun2lei5,gúnléih,N/V,management; to manage
部分,bou6fan6,bouhfahn,N,part
通常,tung1soeng4,tūngsèuhng,Adv,"usually, ordinarily"
開辦,hoi1baan6,hōibaahn,V,to set up
課程,fo3cing4,fochìhng,N,"course, curriculum"
階段,gaai1dyun6,gāaidyuhn,N,stage
象徵,zoeng6zing1,jeuhngjīng,N/V,symbol; to symbolize
努力,nou5lik6,nóuhlihk,V,"to strive, to make an effort"
喜愛,hei2oi3,héioi,V,to be fond of
理想,lei5soeng2,léihséung,Adj/N,ideal
提供,tai4gung1,tàihgūng,V,to provide
成績,sing4zik1,sìhngjīk,N,"achievement, academic result"
深造,sam1cou3,sāmchou,V,to pursue advanced studies
優質,jau1zat1,yāujāt,Att,high-quality; of high quality
進修,zeon3sau1,jeunsāu,V,to pursue further studies
資助,zi1zo6,jījoh,N/V,subsidy; to subsidize
水平,seoi2ping4,séui'pìhng,N,"level, standard"
穩定,wan2ding6,wándihng,Adj,stable
畢業生,bat1jip6saang1,bātyihpsāang,N,graduate
光明,gwong1ming4,gwōngmìhng,Adj,bright
前途,cin4tou4,chìhntòuh,N,prospects
匆匆忙忙,cung1cung1 mong4 mong4,chūngchūng mòhng mòhng,PH,in a hurry
留學生,lau4hok6saang1,làuhhohksāang,N,overseas student; student studying abroad
超過,ciu1gwo3,chīugwo,V,"to exceed, to surpass"
聲譽,sing1jyu6,sīngyuh,N,reputation
先進,sin1zeon3,sīnjeun,Adj,"advanced (for equipment, technology, etc.)"
培養,pui4joeng5,pùihyéuhng,V,to cultivate
國際化,gwok3zai3faa3,gwokjaifa,PH,internationalization; internationalized
視野,si6je5,sihyéh,N,field of vision
關係,gwaan1hai6,gwāanhaih,N,relations; relationship
重視,zung6si6,juhngsih,V,to attach importance to
優秀,jau1sau3,yāusau,Adj,"outstanding, excellent"
一份子,jat1fan6zi2,yātfahnjí,PH,"a member of, a part of"
由於,jau4jyu1,yàuhyū,Adv,due to
享受,hoeng2sau6,héungsauh,N/V,enjoyment; to enjoy
高質素,gou1zat1 sou3,gōujāt sou,PH,"high-quality, of high quality"
