Chinese,Jyutping,Yale,POS,English
同性戀合法化,tung4sing3lyun2 hap6faat3faa3,tùhngsinglyún hahpfaatfa,PH,legalization of homosexuality
同性婚姻,tung4sing3fan1jan1,tùhngsingfānyān,N,same-sex marriage
父親,fu6can1,fuhchān,N,father
母親,mou5can1,móuhchān,N,mother
領養,ling5joeng5,líhngyéuhng,V,to adopt (child)
小孩子,siu2haai4zi2,síu'hàaihjí,N,child
傳統婚姻,cyun4tung2 fan1jan1,chyùhntúng fānyān,N,traditional marriage
異性,ji6sing3,yihsing,N,the opposite sex
結合,git3hap6,githahp,V,"to marry, to be united in wedlock"
證婚人,zing3fan1jan4,jingfānyàhn,N,wedding witness
二人家庭,ji6 jan4gaa1 ting4,yih yàhngā tìhng,PH,two-person household
合法夫妻,hap6faat3 fu1cai1,hahpfaat fūchāi,N,legitimate couple
多人婚姻,do1 jan4 fan1jan1,dō yàhn fānyān,N,multi-person marriage
