Chinese,Jyutping,Yale,POS,English
從事,cung4si6,chùhngsih,V,to engage in (work)
法律,faat3leot6,faatleuht,N,law
分享,fan1hoeng2,fānhéung,V,to share
到底,dou3dai2,doudái,Adv,after all
爭相,zang1soeng1,jāngsēung,V,to fall over each other in rush to
憲法,hin3faat3,hinfaat,N,constitution
保障,bou2zoeng3,bóujeung,N/V,protection; to ensure and protect
言論自由,jin4leon6zi6jau4,yìhnleuhnjihyàuh,N,freedom of speech
出版自由,ceot1baan2 zi6jau4,chēutbáan jihyàuh,N,freedom of publication
戀愛自由,lyun2oi3 zi6jau4,lyún'oi jihyàuh,N,freedom of love
禁止,gam3zi2,gamjí,V,"to prohibit, to ban"
接受,zip3sau6,jipsauh,V,to accept
指出,zi2ceot1,jíchēut,V,to point out
學業,hok6jip6,hohkyihp,N,(one's) academic studies
表現,biu2jin6,bíuyihn,N,performance
人際關係,jan4zai3gwaan1hai6,yàhnjaigwāanhaih,N,interpersonal relationship
極大,gik6daai6,gihkdaaih,PH,"huge, enormous"
差距,caa1keoi5,chā'kéuih,N,"gap, disparity"
成年人,sing4nin4jan4,sìhngnìhnyàhn,N,adult
雙方,soeng1fong1,sēungfōng,PH,both parties
一日,jat1jat6,yātyaht,Adv,"in case, once"
公屋,gung1uk1,gūng'ūk,N,public housing estate
社會民生,se5wui2 man4sang1,séhwúi màhnsāng,N,social livelihood
透過,tau3gwo3,taugwo,CV,through
尤其是,jau4kei4si6,yàuhkèihsih,Adv,especially
複雜,fuk1zaap6,fūkjaahp,Adj,complicated
合乎,hap6fu4,hahpfùh,V,to conform to
人權,jan4kyun4,yàhnkyùhn,N,human rights
邏輯,lo4cap1,lòhchāp,N,logic
考慮,haau2leoi6,háauleuih,V,to consider
