Chinese,Jyutping,Yale,POS,English
非常之,fei1soeng4zi1,fēisèuhngjī,Adv,"very, extremely"
具爭議性,geoi6 zang1ji5sing3,geuih jāngyíhsing,Adj,controversial
題目,tai4muk6,tàihmuhk,N,topic
矛盾,maau4teon5,màauhtéuhn,Adj/N,contradictory; contradiction
的確,dik1kok3,dīkkok,Adv,indeed
議題,ji5tai4,yíhtàih,N,issue
立場,laap6coeng4,laahpchèuhng,N,standpoint
清晰,cing1sik1,chīngsīk,Adj,clear
百分之百,baak3fan6zi1baak3,baakfahnjībaak,PH,a hundred percent; absolutely
贊成,zaan3sing4,jaansìhng,V,"to approve of, to be in favour of"
基礎,gei1co2,gēichó,N,foundation
危害,ngai4hoi6,ngàihhoih,V,"to endanger, to harm"
討論,tou2leon4,tóulèuhn,N/V,discussion; to discuss
空間,hung1gaan1,hūnggāan,N,space
十分之,sap6fan1zi1,sahpfānjī,Adv,"very, fully"
常見,soeng4gin3,sèuhnggin,Adj,common
下一代,haa6jat1doi6,hahyātdoih,N,the next generation
戒煙,gaai3 jin1,gaai yīn,VO,to quit smoking
有益,jau5jik1,yáuhyīk,Adj,"unhelpful, not beneficial"
戒甩,gaai3 lat1,gaai lāt,RV,to successfully quit (a habit)
自由,zi6jau4,jihyàuh,Adj/N,free; freedom
嗜好,si3hou3,si'hou,N,hobby
反對,faan2deoi3,fáandeui,V,to oppose
本身,bun2san1,búnsān,N,"self, itself"
利益,lei6jik1,leihyīk,N,benefit
社會,se5wui2,séhwúi,N,society
下降,haa6gong3,hahgong,V,to decrease
家庭,gaa1ting4,gā'tìhng,N,family
美滿,mei5mun5,méihmúhn,Adj,"happy, good and perfect (for marriage or family)"
相聚,soeng1zeoi6,sēungjeuih,V,to gather together
理據,lei5geoi3,léihgeui,N,justification
自私,zi6si1,jihsī,Adj,selfish
公平,gung1ping4,gūngpìhng,Adj,fair
限制,haan6zai3,haahnjai,N/V,restriction; to restrict
總結,zung2git3,júnggit,N/V,conclusion; to conclude
剝奪,mok1dyut6,mōkdyuht,V,to deprive
