Chinese,Jyutping,Yale,POS,English
宗教團體,zung1gaau3tyun4 tai2,jūnggaau'tyùhn tái,N,religious organization
宗教派別,zung1gaau3 paai3bit6,jūnggaau paaibiht,N,religious faction
印度教,jan3dou6gaau3,yandouhgaau,PN,Hinduism
猶太教,jau4taai3gaau3,yàuhtaaigaau,PN,Judaism
伊斯蘭教節,ji1si1laan4gaau3 zit3,yīsīlàahngaau jit,PN,Islamic Festival
道教節,dou6gaau3 zit3,douhgaau jit,PN,Taoist Festival
農曆新年,nung4lik6san1nin4,nùhnglihksānnìhn,PN,Lunar New Year
清明節,cing1ming4zit3,chīngmìhngjit,PN,Ching Ming Festival
端午節,dyun1ng5zit3,dyūnnǵhjit,PN,Dragon Boat Festival
中秋節,zung1cau1zit3,jūngchāujit,PN,Mid-Autumn Festival
重陽節,cung4joeng4zit3,chùhngyèuhngjit,PN,Chung Yeung Festival
拜年,baai3nin4,baai'nìhn,VO,to pay a New Year call
派利是,paai3lai6si6,paailaihsih,VO,to give out red packets
扒龍船,paa4lung4syun4,pàhlùhngsyùhn,VO,to row the dragon boat
拜山,baai3saan1,baaisāan,VO,to sweep the grave
回歸,wui4gwai1,wùihgwāi,PH,handover (of Hong Kong to China)
聖誕節,sing3daan3zit3,singdaanjit,PN,Christmas
復活節,fuk6wut6zit3,fuhkwuhtjit,PN,Easter
新曆新年,san1lik6 san1nin4,sānlihk sānnìhn,PN,New Year (according to Gregorian calendar)
佛誕,fat1daan3,fātdaan,PN,Birthday of Buddha
萬聖節,maan6sing3zit3,maahnsingjit,PN,Halloween
感恩節,gam2jan1zit3,gámyānjit,PN,Thanksgiving Day
瑞典嘅「聖露西亞日」,seoi6din2 ge3 「 sing3lou6sai1aa3 jat6 」,seuihdín ge 「 singlouhsāia yaht 」,PN,Saint Lucia's Day in Sweden
菲律賓嘅「朋友節」,fei1leot6ban1 ge3 「 pang4jau5 zit3 」,fēileuhtbān ge 「 pàhngyáuh jit 」,PN,Kapangyawan Festival in the Philippines
泰國嘅「潑水節」,taai3gwok3 ge3 「 put3seoi2zit3 」,taaigwok ge 「 putséuijit 」,PN,Songkran Festival in Thailand
