Chinese,Jyutping,Yale,POS,English
綠色香港,luk6sik1 hoeng1gong2,luhksīk hēunggóng,PN,Green Hong Kong
陳國強,can4 gwok3 koeng4,chàhn gwok kèuhng,PN,Chan Kwok-keung
清潔維港計劃,cing1git3 wai4gong2 gai3waak6,chīnggit wàihgóng gaiwaahk,PN,Clean Up Victoria Harbour scheme
清潔沙灘運動,cing1git3 saa1taan1 wan6dung6,chīnggit sā'tāan wahnduhng,PN,Beach Clean-up campaign
環保大使,waan4bou2 daai6sai2,wàahnbóu daaihsái,PH,Green Ambassador
垃圾分類計劃,laap6saap3 fan1leoi6 gai3waak6,laahpsaap fānleuih gaiwaahk,PN,Waste Sorting Campaign
