Chinese,Jyutping,Yale,POS,English
負責人,fu6zaak3jan4,fuhjaakyàhn,N,person in charge
獲邀請,wok6 jiu1ceng2,wohk yīuchéng,PH,to be invited
表達,biu2daat6,bíudaaht,V,to express
環保工作,waan4bou2 gung1zok3,wàahnbóu gūngjok,N,environmental protection work
即時,zik1si4,jīksìh,Adj / Adv,immediate; immediately
自從,zi6cung4,jihchùhng,CV,"(of time) from, since"
潑我冷水,put6 ngo5 laang5seoi2,puht ngóh láahngséui,PH,"to discourage me, to throw cold water on me"
海水,hoi2seoi2,hóiséui,N,seawater
改善,goi2sin6,góisihn,V,to improve
搵唔到食,wan2 m4 dou2 sik6,wán m̀h dóu sihk,PH,cannot make a living
賺唔到錢,zaan6 m4 dou2 cin2,jaahn m̀h dóu chín,PH,cannot earn money
親耳聽到,can1ji5 teng1dou2,chānyíh tēngdóu,PH,to hear something with one's own ears
好彩,hou2coi2,hóuchói,Adj/ Adv,lucky; luckily
當時,dong1si4,dōngsìh,Adv,at that time
有目共睹,jau5muk6gung6dou2,yáuhmuhkguhngdóu,PH,obvious to everyone
捐款,gyun1fun2,gyūnfún,N,donation
雀鳥,zoek3niu5,jeukníuh,N,bird
項目,hong6muk6,hohngmuhk,N,"project, item"
組織,zou2zik1,jóujīk,N/V,organization; to organize
培訓,pui4fan3,pùihfan,N/V,training; to train (personnel)
海岸公園,hoi2ngon6 gung1jyun2,hói'ngohn gūngyún,N,marine park
屋邨,uk1cyun1,ūkchyūn,N,housing estate
自願,zi6jyun6,jihyuhn,Adv,voluntarily
困難,kwan3naan4,kannàahn,Adj/N,difficult; difficulty
義工,ji6gung1,yihgūng,N,volunteers
聯絡,lyun4lok3,lyùhnlok,V,to contact
各區,gok3 keoi1,gok kēui,PH,each district
行業,hong4jip6,hòhngyihp,N,industry
在座,zoi6zo6,joihjoh,PH,"to be present (at a meeting, banquet, etc.)"
宗旨,zung1zi2,jūngjí,N,"(of associations, clubs, etc.) aim, purpose"
