Chinese,Jyutping,Yale,POS,English
相關工作,soeng1gwaan1 gung1zok3,sēunggwāan gūngjok,PH,related work
一時之間,jat1si4zi1gaan1,yātsìhjīgāan,PH,all of a sudden
討論熱點,tou2leon4 jit6dim2,tóulèuhn yihtdím,N,hot-debate issue
自此之後,zi6ci2 zi1hau6,jihchí jī'hauh,PH,"since then, henceforth"
唔係單單要考慮,m4hai6 daan1daan1 jiu3 haau2leoi6,m̀hhaih dāandāan yiu háauleuih,PH,not only need to consider
