Chinese,Jyutping,Yale,POS,English
教育界,gaau3juk6gaai3,gaauyuhkgaai,N,education sector
學前教育,hok6cin4gaau3juk6,hohkchìhngaauyuhk,N,pre-primary education
免費教育,min5fai3 gaau3juk6,míhnfai gaauyuhk,N,free education
私人機構,si1jan4 gei1gau3,sīyàhn gēigau,N,private organization
非牟利機構,fei1 mau4lei6 gei1gau3,fēi màuhleih gēigau,N,non-profit-making organisation
幼兒園,jau3ji4jyun2,yauyìhyún,N,nursery
幼稚園,jau3zi6jyun2,yaujihyún,N,kindergarten
高中,gou1zung1,gōujūng,Att/N,senior secondary
專上課程,zyun1soeng6 fo3cing4,jyūnseuhng fochìhng,N,post-secondary programme
八大,baat3 daai6,baat daaih,PH,the eight major universities in Hong Kong
學士學位,hok6si6hok6wai2,hohksihhohkwái,PN,Bachelor's Degree
副學士,fu3hok6si6,fu'hohksih,PN,Associate Degree
高級文憑,gou1kap1 man4pang4,gōu'kāp màhnpàhng,PN,Higher Diploma
研究生課程,jin4gau3saang1 fo3cing4,yìhngausāang fochìhng,N,postgraduate programme
選讀,syun2 duk6,syún duhk,V,"to choose to study (e.g. courses, curriculum)"
識字量,sik1zi6 loeng6,sīkjih leuhng,N,repertoire of words (number of words that one knows)
閱讀能力,jyut6duk6 nang4lik6,yuhtduhk nàhnglihk,N,reading literacy
兩文三語,loeng5man4saam1jyu5,léuhngmàhnsāamyúh,PH,biliteracy and trilingualism
