Chinese,Jyutping,Yale,POS,English
勞民傷財,lou4man4soeng1coi4,lòuhmàhnsēungchòih,PH,wasting manpower and money; exhausting the people and draining the treasury
吃力不討好,hek3lik6bat1tou2hou2,heklihkbāttóu'hóu,PH,strenuous and unrewarding; arduous and thankless task
前置功夫,cin4 zi3 gung1fu1,chìhn ji gūngfū,N,preparation efforts
奧運效應,ou3wan6 haau6jing3,ouwahn haauhying,N,the Olympic effect
有益而無害,jau5jik1 ji4 mou4hoi6,yáuhyīk yìh mòuhhoih,PH,beneficial and harmless
天時地利人和,tin1si4dei6lei6 jan4wo4,tīnsìhdeihleih yàhnwòh,PH,"the timing is right, and the geographical and social conditions are favourable"
得不償失,dak1bat1soeng4sat1,dākbātsèuhngsāt,PH,the loss outweighs the gain
