Chinese,Jyutping,Yale,POS,English
閱讀,jyut6duk6,yuhtduhk,V,to read
打發,daa2faat3,dáfaat,V,"to kill (the time), to pass (the time)"
角落,gok3lok1,goklōk,N,corner
缺少,kyut3siu2,kyutsíu,V,to lack; to be short of
消失,siu1sat1,sīusāt,V,to disappear; to vanish; to fade away
體驗,tai2jim6,táiyihm,N/V,experience; to experience
相同,soeng1tung4,sēungtùhng,Adj,the same; identical; equal; alike
店員,dim3jyun4,dimyùhn,N,shop assistant; clerk; salesclerk
同樣,tung4joeng2,tùhngyéung,Adj,same; similar; equal
熱愛,jit6oi3,yiht'oi,V,to ardently love
