Chinese,Jyutping,Yale,POS,English
類型,leoi6jing4,leuihyìhng,N,type
古代,gu2doi6,gúdoih,N,ancient times
來往,loi4wong5,lòihwóhng,N/V,"contact, dealings; to come and go"
宗教,zung1gaau3,jūnggaau,N,religion
電視劇,din6si6kek6,dihnsihkehk,N,TV drama
形象,jing4zoeng6,yìhngjeuhng,N,image
污糟,wu1zou1,wūjōu,Adj,dirty
發展,faat3zin2,faatjín,N/V,development; to develop
改編,goi2pin1,gói'pīn,V,"to adapt, to rearrange, to reorganize"
小說,siu2syut3,síusyut,N,novel
寫實,se2sat6,sésaht,Adj,appearing to be existing or happening in fact
記錄,gei3luk6,geiluhk,N/V,record; to record
原本,jyun4bun2,yùhnbún,Adj/Adv,original; originally
情節,cing4zit3,chìhngjit,N,plot
細節,sai3zit3,saijit,N,details
速度,cuk1dou6,chūkdouh,N,speed
設計,cit3gai3,chitgai,N/V,design; to design
打打殺殺,daa2daa2saat3saat3,dádásaatsaat,PH,"blood and guts, fighting and killing"
膚淺,fu1cin2,fūchín,Adj,"shallow, superficial, skin-deep"
程度,cing4dou6,chìhngdouh,N,"degree, level"
消遣,siu1hin2,sīu'hín,N,pastime
