Chinese,Jyutping,Yale,POS,English
經典,ging1din2,gīngdín,Adj/N,classic; classical; classics
戲院,hei3jyun2,heiyún,PW,cinema
沉船,cam4syun4,chàhmsyùhn,vO,the boat sinks
歷史,lik6si2,lihksí,N/Adj,history; historical
主角,zyu2gok3,jyúgok,N,leading role; lead
愛情,oi3cing4,oichìhng,N,love
故事,gu3si6,gusih,N,story
跳海,tiu3hoi2,tiu'hói,vO,jump into the sea
唱歌,coeng3go1,cheunggō,VO,sing (a song)
跳舞,tiu3mou5,tiu'móuh,VO,dance
自殺,zi6saat3,jihsaat,V,commit suicide; take one's own life
畫畫,waak6waa2,waahkwá,VO,paint a painting; draw a picture
着衫,zoek3saam1,jeuksāam,VO,wear clothes
導演,dou6jin2,douhyín,N,film director
拍戲,paak3hei3,paakhei,VO,make a film; shoot a scene
鏡頭,geng3tau4,gengtàuh,N,shot; scene; camera lens
(有)型,( jau5 ) jing4,( yáuh ) yìhng,Adj,stylish; cool; handsome
出場,ceot1coeng4,chēutchèuhng,VO,come on the stage; appear on the scene
白鴿,baak6gaap2,baahkgáap,N,pigeon
拍攝手法,paak3sip3 sau2faat3,paaksip sáufaat,N,skill of shooting (a film or picture)
定格,ding6gaak3,dihnggaak,N,stop motion (filmmaking)
慢鏡,maan6geng3,maahngeng,N,slowmotion (filmmaking)
