Chinese,Jyutping,Yale,POS,English
租,zou1,jōu,V,"rent, hire"
合租,hap6zou1,hahpjōu,N/V,shared accommodation
起租,hei2zou1,héijōu,vO,start of renting period
單位,daan1wai2,dāanwái,N,"flat, unit"
-度,- dou6,- douh,Adv,approximately; about
成,seng4,sèhng,Adv,"almost, nearly, more or less, about the same"
得,dak1,dāk,Adv,only; alone
嗌,aai3,aai,V,bid; ask price
還價,waan4gaa3,wàahnga,vO,counter-offer; counter-bid; bargain
價錢,gaa3cin2,gachín,N,price
邊種,bin1zung2,bīnjúng,QW,which kind; which type
包,baau1,bāau,V,include
設備,cit3bei6,chitbeih,N,equipment; installation; facilities
全-,cyun4 -,chyùhn -,Att,whole or entire
傢俬,gaa1si1,gāsī,N,furniture
電器,din6hei3,dihnhei,N,electrical appliance
無限,mou4haan6,mòuhhaahn,Adv,unlimited
考慮,haau2leoi6,háauleuih,V,consider; think over
