Chinese,Jyutping,Yale,POS,English
晒士,saai1si2,sāaisí,N,size
腰圍,jiu1wai4,yīuwàih,N,waist measurement; waistline
長,coeng4,chèuhng,N/Adj,length; long
粗,cou1,chōu,N/Adj,thickness or thick (for cylindrical objects); big (waistline)
幼,jau3,yau,Adj,thin and small; fine; delicate
試着,si3zoek6,sijeuhk,V,try wearing clothes; fitting trial
身型,san1jing4,sānyìhng,N,body shape
鬆,sung1,sūng,Adj,loose; slack
緊,gan2,gán,Adj,tight
速遞公司,cuk1dai6 gung1si1,chūkdaih gūngsī,N,courier; express delivery
退貨,teoi3fo3,teuifo,VO,return goods or merchandise; withdraw a product
