Chinese,Jyutping,Yale,POS,English
塞車,sak1ce1,sākchē,VO,traffic jam
出發,ceot1faat3,chēutfaat,V,depart; set off
電梯,din6tai1,dihntāi,N,escalator
天橋,tin1kiu4,tīnkìuh,N,overline bridge
班,baan1,bāan,M,"a measure word for number of flights, or number of runs of buses, boats, trains, MTR, etc."
趕時間,gon2si4gaan3,gónsìhgaan,PH,in a hurry
轉機,zyun2gei1,jyúngēi,VO,change planes
直航(機),zik6hong4 ( gei1 ),jihkhòhng ( gēi ),N,direct flight
落機,lok6gei1,lohkgēi,VO,disembark a plane
暈車浪,wan4ce1long6,wàhnchēlohng,PH,carsick
