Chinese,Jyutping,Yale,POS,English
歐洲,au1zau1,āujāu,PW,Europe
奧地利,ou3dei6lei6,oudeihleih,PW,Austria
德國,dak1gwok3,dākgwok,PW,Germany
北京,bak1ging1,bākgīng,PW,Beijing
天安門,tin1on1mun4,tīn'ōnmùhn,PW,Tiananmen
胡同,wu4tung4,wùhtùhng,N/PW,lane; alley
夜市,je6si5,yehsíh,N/PW,night market
長洲,coeng4zau1,chèuhngjāu,PW,Cheung Chau Island
大嶼山,daai6jyu4saan1,daaihyùhsāan,PW,Lantau Island
南丫島,naam4aa1dou2,nàahm'ādóu,PW,Lamma Island
東南亞,dung1naam4aa3,dūngnàahm'a,PW,South-east Asia
雲南,wan4naam4,wàhnnàahm,PW,"Yunnan, a province in south-west of China"
香格里拉,hoeng1gaak3lei5laai1,hēunggaakléihlāai,PW,Shangri-La
