Chinese,Jyutping,Yale,POS,English
以前,ji5cin4,yíhchìhn,TW,in the past; formerly; previously
簡直,gaan2zik6,gáanjihk,Adv,simply; at all
喊,haam3,haam,V,cry; weep
感動,gam2dung6,gámduhng,Adj,heart-moving; heartening
撞倒,zong6dou2,johngdóu,RVE,bump into; bump against
跟住,gan1zyu6,gānjyuh,Adv,and then; and after; next
收尾,sau1mei1,sāu'mēi,TW,finally; as a result
死,sei2,séi,V,"die, be dead"
悶,mun6,muhn,Adj,bored; boring
窮,kung4,kùhng,Adj,poor; poverty-stricken
結婚,git3fan1,gitfān,V,marry; get married
怕,paa3,pa,V/Adj,fear; dread; be afraid of
繼續,gai3zuk6,gaijuhk,V,continue; go on
放棄,fong3hei3,fonghei,V,give up
夢想,mung6soeng2,muhngséung,N/V,wishful thinking; dream of
老人家,lou5jan4gaa1,lóuhyàhngā,N,a respectful form of address to an old person; a polite term for old woman or man
決定,kyut3ding6,kyutdihng,V/N,decide; determine; make up one's mind; decision
同 …… 見面,tung4 … … gin3min6,tùhng … … ginmihn,Patt,meet someone; see each other
天氣,tin1hei3,tīnhei,N,weather
對,deoi3,deui,CV,with regard to; concerning; to
印象,jan3zoeng6,yanjeuhng,N,impression
值得,zik6dak1,jihkdāk,Adj/V,worth; deserve
借,ze3,je,V,lend; borrow
放假,fong3gaa3,fongga,vO,have a holiday or vacation; have a day off
訪問,fong2man6,fóngmahn,V/N,interview; call on; visit
呃,aak3,aak,V,deceive; cheat
人哋,jan4dei6,yàhndeih,N,other people
嘥,saai1,sāai,V,waste; miss
機會,gei1wui6,gēiwuih,N,chance; opportunity
