Chinese,Jyutping,Yale,POS,English
歡迎,fun1jing4,fūnyìhng,V/ Adj,welcome; welcoming
晚會,maan5wui2,máahnwúi,N,evening party
搞,gaau2,gáau,V,organize
迎新,jing4san1,yìhngsān,VO,orientation
開學,hoi1hok6,hōi'hohk,VO/TW,semester begins; beginning of a semester
舉辦,geoi2baan6,géuibaahn,V,"run, hold, conduct"
校園,haau6jyun2,haauhyún,N,campus
相信,soeng1seon3,sēungseun,V,believe; trust
出街,ceot1gaai1,chēutgāai,VO,"go out (to town, shopping, etc.)"
少,siu2,síu,Adj,less; few; little
體驗,tai2jim6,táiyihm,V/N,learn through practice; learn through one's personal experience
真正,zan1zing3,jānjing,Adj,real; authentic; genuine
淨係,zing6hai6,jihnghaih,Adv,just; merely; only
其實,kei4sat6,kèihsaht,Adv,actually; in fact; really
出口,ceot1hau2,chēutháu,N,exit
集合,zaap6hap6,jaahphahp,V,gather; assemble; call together
興趣,hing3ceoi3,hingcheui,N,interest (desire to know about something)
返工,faan1gung1,fāangūng,VO,go to work; start work; be on duty
叻,lek1,lēk,Adj,excellent; smart; capable
開會,hoi1wui2,hōiwúi,VO,have a meeting or conference
隔籬,gaak3lei4,gaaklèih,PW,next to
一直行,jat1zik6haang4,yātjihkhàahng,PH,go straight forward
試吓,si3 haa2,si há,V,give it a try
高樓大廈,gou1lau4daai6haa6,gōulàuhdaaihhah,N,high-rise building
雖然,seoi1jin4,sēuiyìhn,Patt,although ...
揸車,zaa1ce1,jāchē,VO,drive (a car)
冬天,dung1tin1,dūngtīn,N,winter
行山,haang4saan1,hàahngsāan,VO,hiking
揀,gaan2,gáan,V,choose; select
