Chinese,Jyutping,Yale,POS,English
慶祝,hing3zuk1,hingjūk,V,celebrate
文化,man4faa3,màhnfa,N,culture
大部分,daai6bou6fan6,daaihbouhfahn,N,the majority; the greater part; in large part
布(乜)所謂,bou3 ( mat1 ) so2wai6,bou ( māt ) sówaih,PH,doesn't matter; indifferent
失預算,sat1 jyu6syun3,sāt yuhsyun,PH,out of budget
情況,cing4fong3,chìhngfong,N,circumstances; situation
AA制,ei1ei1zai3,ēiēijai,PH,split the bill; go Dutch
熟,suk6,suhk,Adj,familiar (with somebody); well acquainted; ripe
自然,zi6jin4,jihyìhn,Adj/Adv/N,natural; naturally; nature
唔通,m4tung1,m̀htūng,Adv,(used to give force to a rhetorical question) don't tell me ... / could it be that ... / how can we ...?
到時,dou3si4,dousìh,Adv,at that (future) time; when the time comes by
通宵,tung1siu1,tūngsīu,N,all night; the whole night; throughout the night
送+PN,sung3 + pi1en1,sung + pīēn,V,see somebody off or out; send someone to; escort someone to
開OT,hoi1ou1ti1,hōiōu'tī,VO,work overtime; work an extra shift
晏,aan3,aan,Adj,late in the day
探病,taam3beng6,taambehng,VO,visit a sick person or patient
不如,bat1jyu4,bātyùh,Adv,it would be better to; it might as well
不嬲,bat1lau1,bātlāu,Adv,always (habit); from the past till the present
啱,aam1,āam,Adj,suitable; correct; right; suit somebody
帶,daai3,daai,V,take; bring; carry
餵,wai3,wai,V,feed
放低,fong3dai1,fongdāi,RVE,put something down; let go with something
探熱,taam3jit6,taamyiht,VO,check someone's body temperature
影響,jing2hoeng2,yínghéung,V/N,affect; influence; effect
將就,zoeng1zau6,jēungjauh,V,tolerate; accept (a bit reluctantly); make the best of it; make do with it
