Chinese,Jyutping,Yale,POS,English
鐵達尼號,tit3daat6nei4hou6,titdaahtnèihhouh,N,"A Hollywood movie ""Titanic"" in 1997"
世界,sai3gaai3,saigaai,N,world
大西洋,daai6sai1joeng4,daaihsāiyèuhng,N,the Atlantic Ocean
冰山,bing1saan1,bīngsāan,N,iceberg
吳宇森,ng4jyu5sam1,ng̀hyúhsām,PN,John Woo
周潤發,zau1jeon6faat3,jāuyeuhnfaat,PN,Chow Yun Fat
荷里活,ho4lei5wut6,hòhléihwuht,PW,Hollywood
英雄本色,jing1hung4 bun2sik1,yīnghùhng búnsīk,PN,"A Hong Kong movie ""A better Tomorrow"" in 1986"
喋血雙雄,dip6hyut3 soeng1 hung4,dihphyut sēung hùhng,PN,"A Hong Kong movie ""The Killer"" in 1989"
柯士甸站,o1si6din6 zaam6,ōsihdihn jaahm,PW,"Austin Road station, MTR"
圓方商場,jyun4fong1 soeng1coeng4,yùhnfōng sēungchèuhng,PW,"the shopping mall at Elements, Kowloon"
科學館,fo1hok6 gun2,fō'hohk gún,PW,Science Museum
機場快線,gei1coeng4faai3sin3,gēichèuhngfaaisin,PN,Airport Express
泰國,taai3gwok3,taaigwok,PW,Thailand
菲律賓,fei1leot6ban1,fēileuhtbān,PW,Philippines
長灘島,coeng4 taan1 dou2,chèuhng tāan dóu,PW,Boracay
馬尼拉,maa5nei4laa1,máhnèihlā,PW,Manila
