Chinese,Jyutping,Yale,POS,English
吸塵機,kap1can4gei1,kāpchàhngēi,N,vacuum cleaner
款,fun2,fún,N/M,style; design; pattern; classifier for versions or models (of a product)
傳統,cyun4tung2,chyùhntúng,Adj/N,traditional/ a tradition
一嚿嘢,jat1gau6je5,yātgauhyéh,PH,a piece/lump/chunk of something
碌嚟碌去,luk1 lei4 luk1 heoi3,lūk lèih lūk heui,PH,roll back and forth
直立式,zik6laap6 sik1,jihklaahp sīk,N,vertical style
牌子,paai4zi2,pàaihjí,N,brand name
吸塵,kap1can4,kāpchàhn,VO,suck up dirt/dust
吸水,kap1seoi2,kāpséui,vO,absorb water
重,zung6,juhng,Adj,heavy (weight)
輕,heng1,hēng,Adj,light (weight)
電器舖,din6hei3pou2,dihnhei'póu,PW/N,electronic store
