Chinese,Jyutping,Yale,POS,English
意見,ji3gin3,yigin,N,idea; view; opinion; suggestion
見工,gin3gung1,gingūng,VO,interview for a job
恭喜,gung1hei2,gūnghéi,V/N,congratulate; congratulations
緊要,gan2jiu3,gányiu,Adj,important; essential; urgent
乾淨,gon1zeng6,gōnjehng,Adj,clean
整齊,zing2cai4,jíngchàih,Adj,tidy
拍拖,paak3to1,paaktō,VO,date; lover's walk
着褸/着外套,zoek3lau1 / zoek3 ngoi6tou3,jeuklāu / jeuk ngoihtou,VO,wear overcoat or jacket
斯文,si1man4,sī'màhn,Adj,refined; gentle; cultured
希望,hei1mong6,hēi'mohng,V/N,hope; wish; expect
啱着,aam1 zoek3,āam jeuk,Adi,fit-to-body
襯,can3,chan,V,"match (clothes, couple, colour)"
熨衫,tong3saam1,tongsāam,V,iron (or press) clothes
放心,fong3sam1,fongsām,V,rest assured; set one's mind at rest; be at ease; feel relieved
返鄉下,faan2hoeng1 haa5,fáanhēung háh,VO,return to one's home village
年廿八,nin4 jaa6baat3,nìhn yahbaat,TW,the 28th day of the final month in the lunar calendar
年初四,nin4co1sei3,nìhnchōsei,TW,the 4th day of the Lunar New Year
團年飯,tyun4nin4faan6,tyùhnnìhnfaahn,N,Chinese New Year Eve dinner; reunion dinner before the Lunar New Year
危險,ngai4him2,ngàihhím,Adj/N,dangerous; danger
新聞(M:單,san1man2 ( em1 : daan1,sānmán ( ēm : dāan,N,news
瞌眼瞓,hap1ngaan5fan3,hāpngáahnfan,vO,doze off; nod
搞到,gaau2dou3,gáaudou,RVE,end up (from any actions); lead to; bring about; result in
交通意外 (M:宗),gaau1tung1ji3ngoi6 ( em1 : zung1 ),gāau'tūngyi'ngoih ( ēm : jūng ),N,traffic accident
得人驚,dak1jan4geng1,dākyàhngēng,Adj,frightening; scary; shocking; terrifying
驚,geng1,gēng,V/Adj,worry; feel anxious; scared; frightened
訂機票,deng6 gei1piu3,dehng gēi'piu,VO,book air ticket
依家,ji1gaa1,yīgā,TW,now; currently; a variation of 'yìhgā'
