Chinese,Jyutping,Yale,POS,English
交代,gaau1doi6,gāaudoih,V,explain; make clear
起因,hei2jan1,héiyān,N,cause; a factor (leading to an effect)
賠償,pui4soeng4,pùihsèuhng,V/N,compensate (or pay) for a loss; compensation or reparations
表示,biu2si6,bíusih,V/N,express; convey to; expression; indication
十分(之),sap6fan1 ( zi1 ),sahpfān ( jī ),Adv,fully; utterly; extremely
當日,dong1jat6,dōngyaht,TW,on that day
加上,gaa1soeng5,gāséuhng,Adv,moreover; in addition; on top of that
發生,faat3sang1,faatsāng,V,happen; occur; take place; break out
遺憾,wai4ham6,wàihhahm,N/Adj,great or deep regret; pity; very sorry
反應,faan2jing3,fáanying,V/N,response; reaction
激動,gik1dung6,gīkduhng,Adj,stir up emotions; moved emotionally
出動,ceot1dung6,chēutduhng,V,set out; send out
維持秩序,wai4ci4dit6zeoi6,wàihchìhdihtjeuih,vO,maintain order
為咗,wai6zo2,waihjó,CV,for the sake of; in order to; for the purpose of
體諒,tai2loeng6,táileuhng,V,show understanding and sympathy for
根據,gan1geoi3,gāngeui,CV/N,according to; based on; basis; grounds; foundation
提供,tai4gung1,tàihgūng,V,offer
再(一)次,zoi3 ( jat1 ) ci3,joi ( yāt ) chi,PH,once more; once again
向,hoeng3,heung,Prep,towards; in the direction of
致歉/道歉,zi3hip3 / dou6hip3,ji'hip / douhhip,V,apologize; express regret
睇法,tai2faat3,táifaat,N,way of looking at a thing; view
對於,deoi3jyu1,deuiyū,Prep,with regard to; concerning
唔見咗,m4gin3 zo2,m̀hgin jó,PH,something is gone; missing
代表,doi6biu2,doihbíu,V/N,represent; representative
非常,fei1soeng4,fēisèuhng,Adv,extraordinary; unusual
受影響,sau6jing2hoeng2,sauhyínghéung,PH,being affected
第一時間,dai6jat1si4gaan1,daihyātsìhgāan,PH,in the first moments; immediately (after an event)
報警,bou3ging2,bougíng,vO,report (an incident) to the police
處理,cyu2lei5,chyúléih,V,handle; process; deal with
答,daap3,daap,V,answer
延期,jin4kei4,yìhnkèih,VO,defer; delay; put off; extend
調査,diu6 caa4,diuh chàh,V/N,investigate; inquiry; survey; investigation
提升,tai4sing1,tàihsīng,V,upgrade
重視,zung6si6,juhngsih,V,attach importance to; think highly of; take something seriously
