Chinese,Jyutping,Yale,POS,English
滑翔傘,waat6coeng4saan3,waahtchèuhngsaan,N,paraglider
燒嘢食,siu1je5sik6,sīuyéhsihk,V,barbeque
焗桑拿,guk6 son1naa4,guhk sōnnàh,VO,have a sauna
玩/做瑜珈,waan2 / zou6 jyu4gaa1,wáan / jouh yùhgā,VO,play/do Yoga
玩/打泰拳,waan2 / daa2 taai3kyun2,wáan / dá taai'kyún,VO,play Thai boxing
教練,gaau3lin6,gaaulihn,N,sports coach
練習,lin6zaap6,lihnjaahp,V/N,practise; exercise; drill
孭,me1,mē,V,carry on the back or shoulders
公斤,gung1gan1,gūnggān,N,kilogram (kg); kilo
啱啱好,aam1aam1hou2,āam'āamhóu,Adj,just fit; just right
會費,wui2fai3,wúifai,N,membership fee
