Chinese,Jyutping,Yale,POS,English
西多士,sai1do1si2,sāidōsí,N,French toast
菠蘿包,bo1lo4baau1,bōlòhbāau,N,"sweet bun; ""pineapple bun"""
蛋撻,daan6taat1,daahntāat,N,egg tart
叉燒意粉,caa1siu1 ji3fan2,chāsīu yifán,N,barbecued pork with spaghetti in soup
下午茶,haa6ng5caa4,hahnǵhchàh,N,afternoon tea
雜物,zaap6mat6,jaahpmaht,N,junk; various bits and bots; items of no value
鞋,haai4,hàaih,N,shoes
化粧品,faa3 zong1 ban2,fa jōng bán,N,cosmetics; makeup product
日用品,jat6jung6ban2,yahtyuhngbán,N,articles for everyday use
