Chinese,Jyutping,Yale,POS,English
我唔理呀,ngo5 m4 lei5 aa4,ngóh m̀h léih àh,PH,No matter what; I don't care
我會儘快回覆你,ngo5 wui5 zeon2faai3 wui4fuk1 nei5,ngóh wúih jéunfaai wùihfūk néih,PH,I will return to you as soon as possible; I will give you a reply as soon as possible
你哋搞乜鬼嘢呀喺度?,nei5dei6 gaau2mat1gwai2 je5 aa4 hai2dou6 ?,néihdeih gáau'mātgwái yéh àh háidouh ?,PH,What's going on? What the heck are you doing?
同我搞返好佢啦!,tung4 ngo5 gaau2 faan1 hou2 keoi5 la1 !,tùhng ngóh gáau fāan hóu kéuih lā !,PH,Clear up the mess for me!
