Chinese,Jyutping,Yale,POS,English
啱啱,ngaam1ngaam1,ngāamngāam,Adv,just now; just recently; just a moment ago
上機,soeng5gei1,séuhnggēi,VO,board a flight
取消,ceoi2siu1,chéuisīu,V,cancel; call off
抱歉,pou5hip3,póuhhip,Adj,"feel apologetic; regret, sorry (formal)"
宣佈,syun1bou3,syūnbou,V,declare; announce
講大話,gong2daai6waa6,góngdaaihwah,VO,tell a lie
有理由,jau5lei5 jau4,yáuhléih yàuh,PH,no reason; does not make sense; unreasonable
照顧,ziu3gu3,jiugu,V,give consideration; care for
經過,ging1gwo3,gīnggwo,V/N,"go through; pass,process;"
加,gaa1,gā,V,add; put in
黑名單,haak1ming4daan1,hāakmìhngdāan,N,blacklist
安排,on1paai4,ōnpàaih,V/N,arrange (matters); arrangements; plan in detail; plans
俾,bei2,béi,V,allow
親戚,can1cik1,chānchīk,N,relative (family relation)
商量,soeng1loeng4,sēunglèuhng,V,consult; discuss; talk over
傾,king1,kīng,V,talk; chat; discuss
現金劵,jin6gam1 gyun3,yihngām gyun,N,cash coupon
享用,hoeng2jung6,héungyuhng,V,enjoy the use of
前後,cin4hau6,chìhnhauh,TW,from beginning to end
誤會,ng6wui6,nghwuih,N/V,misunderstanding; misunderstand
效果,haau6gwo2,haauhgwó,N,effect; result
了解,liu5gaai2,líuhgáai,V,find out; acquaint oneself with; comprehend; realize
請,ceng2,chéng,V,"employ; hire (a lawyer, etc.), recruit, appoint to a position"
緊張,gan2zoeng1,gánjēung,Adj,nervous; stressed; tense
介意,gaai3ji3,gaaiyi,V,take offence; mind
溝通,kau1tung1,kāu'tūng,V,communicate
覆,fuk1,fūk,V,reply; give a reply
