Chinese,Jyutping,Yale,POS,English
記者招待會,gei3ze2ziu1doi6wui2,geijéjīudoihwúi,N,press conference
新亞航空,san1 aa3 hong4hung1,sān a hòhnghūng,PN,New Asia Airlines
事件,si6gin2,sihgín,N,incident; event
保安人員,bou2on1jan4jyun4,bóuōnyàhnyùhn,N,security guard
晚餐,maan5caan1,máahnchāan,N,supper; dinner
發問(嘅)時間,faat3man6 ( ge3 ) si4gaan1,faatmahn ( ge ) sìhgāan,N,Q/A session
醫(院)管(理)局,ji1 ( jyun2 ) gun2 ( lei5 ) guk6,yī ( yún ) gún ( léih ) guhk,N,Hospital Authority
新界醫院,san1gaai3 ji1jyun2,sāngaai yīyún,PW,New Territories Hospital
記者,gei3ze2,geijé,N,journalist; reporter
主席,zyu2zik6,jyújihk,N,chairperson
家屬,gaa1suk6,gāsuhk,N,family members (formal); family dependents
警方,ging2fong1,gíngfōng,N,police (formal)
深圳,sam1zan3,sāmjan,PW,Shenzhen
