Chinese,Jyutping,Yale,POS,English
冷飯,laang5faan6,láahngfaahn,N,leftover rice
蝦仁炒蛋,haa1jan4 caau2daan2,hāyàhn cháaudáan,N,shelled fresh shrimps with eggs
洋蔥,joeng4cung1,yèuhngchūng,N,onion
雞蛋(M:隻),gai1daan2 ( em1 : zek3 ),gāidáan ( ēm : jek ),N,(hen's) egg
芹菜,kan4coi3,kàhnchoi,N,celery
蔥,cung1,chūng,N,scallion; green onion
咖喱醬(M:樽),gaa3lei1 zoeng3 ( em1 : zeon1 ),galēi jeung ( ēm : jēun ),N,curry thick sauce (a bottle or a glass of)
咖喱粉(M:羮),gaa3lei1fan2 ( em1 : gang1 ),galēifán ( ēm : gāng ),N,curry powder (a spoon of)
薑(M:嚿),goeng1 ( em1 : gau6 ),gēung ( ēm : gauh ),N,ginger
蒜頭(M:粒),syun3tau4 ( em1 : lap1 ),syuntàuh ( ēm : lāp ),N,garlic
芫茜,jim4sai1,yìhmsāi,N,coriander; cilantro
薄荷葉,bok6ho4 jip6,bohkhòh yihp,N,peppermint
香料,hoeng1liu2,hēunglíu,N,spice
油,jau2,yáu,N,oil
胡椒粉,wu4ziu1fan2,wùhjīufán,N,pepper
鹽,jim4,yìhm,N,salt
一粒一粒,jat1 lap1 jat1 lap1,yāt lāp yāt lāp,PH,many small objects
