Chinese,Jyutping,Yale,POS,English
同事,tung4si6,tùhngsih,N,colleague
經理,ging1lei5,gīngléih,N,manager
電腦,din6nou5,dihnnóuh,N,computer
電話,din6waa2,dihnwá,N,telephone
密碼,mat6maa5,mahtmáh,N,password
資料,zi1liu2,jīlíu,N,information
影印機,jing2jan3gei1,yíngyangēi,N,photocopier
彩色打印機,coi2sik1 daa2jan3gei1,chóisīk dáyangēi,N,colour printer
紙,zi2,jí,N,paper
(飲)水機,( jam2 ) seoi2gei1,( yám ) séuigēi,N,bottled-water cooler; water dispenser
雪櫃,syut3gwai6,syutgwaih,N,refrigerator
客(人),haak3 ( jan4 ),haak ( yàhn ),N,client; customer
