Chinese,Jyutping,Yale,POS,English
年紀大,nin4gei2 daai6,nìhngéi daaih,PH,at an old age
打掃,daa2sou3,dásou,VO,sweep
比較,bei2gaau3,béigaau,V/Adv,compare; contrast comparatively; relatively
慳,haan1,hāan,V/Adj,save; economize; cut down on
叉電,caa1din6,chādihn,VO,charge (a battery)
普普通通,pou2pou2tung1tung1,póu'póu'tūngtūng,PH,"reduplication of adjective póutūng in the form ""AABB"" which means ordinary; mediocre; nothing special"
經濟,ging1zai3,gīngjai,Adj/N,economical; economy; economics
剩返,sing6faan1,sihngfāan,RV,left (over); remain
揼,dam1,dām,V,throw
頭先,tau4sin1,tàuhsīn,Adv,a moment before; a moment ago; just now
未熟,mei6suk6,meihsuhk,PH,not cooked; unripe
落,lok6,lohk,V,drop; put
切,cit3,chit,V,cut; mince; slice
