Chinese,Jyutping,Yale,POS,English
麗莎,lai6 saa1,laih sā,PN,Lisa
廣西,gwong2sai1,gwóngsāi,PW,"Guangxi, a province in China next to Guangdong (Canton)"
玉林,juk6lam4,yuhklàhm,PW,"Yulin, or Watlam, a city in Guangxi Province, China"
南寧,naam4ning4,nàahmnìhng,PW,"Nanning, the capital city of Guangxi Province, China"
瑪麗醫院,maa5lai6ji1jyun2,máhlaihyīyún,PW,Queen Mary Hospital
花園街,faa1jyun4gaai1,fāyùhngāai,PW,"Fa Yuen Street at Mong Kok, a street where stalls with fresh fruits and vegetables intermingle with the clothing and other items."
鴻福堂,hung4fuk1 tong4,hùhngfūk tòhng,PN,"Hung Fook Tong, a famous retailer of Chinese herbal products in Hong Kong."
(大學)保健處,( daai6hok6 ) bou2gin6 cyu3,( daaihhohk ) bóugihn chyu,PN,University Health Centre
