Chinese,Jyutping,Yale,POS,English
微波爐,mei4bo1lou4,mèihbōlòuh,N,microwave oven
焗爐,guk6lou4,guhklòuh,N,oven
抽油煙機 (M:部;架),cau1jau4jin1gei1 ( em1 : bou6 ; gaa3 ),chāuyàuhyīngēi ( ēm : bouh ; ga ),N,range hood; kitchen exhaust hood
冷氣機,laang5hei3gei1,láahngheigēi,N,air conditioner
吸塵機,kap1can4gei1,kāpchàhngēi,N,vacuum cleaner
洗衣機,sai2ji1gei1,sáiyīgēi,N,washing machine
抽濕機,cau1 sap1 gei1,chāu sāp gēi,N,dehumidifier
梳化,so1faa2,sōfá,N,sofa
枱,toi2,tói,N,table; desk
櫈,dang3,dang,N,chair; stool or bench
衣櫃,ji1gwai6,yīgwaih,N,wardrobe
櫥櫃,cyu1gwai6,chyūgwaih,N,cupboard
牀/床,cong4 / cong4,chòhng / chòhng,N,bed
書架,syu1gaa2,syūgá,N,bookshelf; bookcase
