Chinese,Jyutping,Yale,POS,English
大衛,daai6wai6,daaihwaih,PN,David
嘉茵,gaa1 jan1,gā yān,PN,Karen
小強,siu2koeng4,síu'kèuhng,PN,Ken
大學,daai6hok6,daaihhohk,N/PW,university; college
飯堂,faan6tong4,faahntòhng,N/PW,canteen
辦公室,baan6gung1sat1,baahngūngsāt,N/PW,office
公司,gung1si1,gūngsī,N/PW,company; office
茶水間,caa4seoi2gaan1,chàhséuigāan,N/PW,pantry
休息室,jau1sik1sat1,yāusīksāt,N/PW,common room; lounge
洗手間,sai2sau2gaan1,sáisáugāan,N/PW,washroom
房,fong2,fóng,N/PW,room
巴士站,baa1si2zaam6,bāsíjaahm,N/PW,bus stop
郊野公園,gaau1je5gung1jyun2,gāauyéhgūngyún,N/PW,country park
印度,jan3dou6,yandouh,PW,India
越南,jyut6naam4,yuhtnàahm,PW,Vietnam
離島,lei4dou2,lèihdóu,PW,outlying island(s)
城市,sing4si5,sìhngsíh,N/PW,city; town
