Chinese,Jyutping,Yale,POS,English
換,wun6,wuhn,V,"change (clothes, mobile phone, part, etc.), exchange or convert currency"
出,ceot1,chēut,V,produce; turn out
慣,gwaan3,gwaan,V,get used to; accustomed to
好用,hou2jung6,hóuyuhng,Adj,handy; easy to use
將來,zoeng1loi4,jēunglòih,TW,future
值錢,zik6cin2,jihkchín,Adj,costly; valuable
唔怪得,m4gwaai3dak1,m̀hgwaaidāk,PH,no wonder; it's little wonder that
通常,tung1soeng4,tūngsèuhng,Adv,usually; generally; ordinarily; as a rule
報告 (M:份),bou3gou3 ( em1 : fan6 ),bougou ( ēm : fahn ),N/V,report
究竟,gau3ging2,gaugíng,Adv,(used in questions to press for an exact answer) after all; anyway; actually; exactly
清楚,cing1co2,chīngchó,Adj/V,clear; understand thoroughtly
擔心,daam1sam1,dāamsām,V/Adj,worry; feel anxious; uneasy
真,zan1,jān,Adj,true; real; genuine
有時,jau5si2,yáuhsí,Adv,sometimes
缺點,kyut3dim2,kyutdím,N,shortcoming; defect; weakness; drawback
自由自在,zi6jau4zi6zoi6,jihyàuhjihjoih,Adv,leisurely and carefree; free and unrestrained
登記,dang1gei3,dānggei,V/N,register; registration
搞掂,gaau2dim6,gáaudihm,RV,done; finish or settle something; fix
八達通 (M:張),baat3daat6tung1 ( em1 : zoeng1 ),baatdaahttūng ( ēm : jēung ),N,Octopus Card
